_id,numReviews
,27
kr1x_CHANGES_REQUESTED,1
winterstefan_APPROVED,4
kr1x_APPROVED,5
winterstefan_COMMENTED,7
koengsen_CHANGES_REQUESTED,2
kr1x_COMMENTED,6
venyii_DISMISSED,4
thesoftwarefanatic_COMMENTED,1
alcaeus_DISMISSED,15
alcaeus_COMMENTED,489
gruberro_APPROVED,324
sharpner_APPROVED,84
alcaeus_CHANGES_REQUESTED,49
alcaeus_APPROVED,270
dazorni_COMMENTED,179
sharpner_DISMISSED,4
venyii_COMMENTED,241
dazorni_APPROVED,97
venyii_APPROVED,240
sharpner_CHANGES_REQUESTED,7
gruberro_CHANGES_REQUESTED,46
koengsen_DISMISSED,3
koengsen_COMMENTED,42
gruberro_COMMENTED,536
koengsen_APPROVED,59
venyii_CHANGES_REQUESTED,26
dazorni_DISMISSED,9
gruberro_DISMISSED,9
dazorni_CHANGES_REQUESTED,20
winterstefan_DISMISSED,1
sharpner_COMMENTED,202
